USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         911 2321077  1.0 1987796 88704 ?    Ssl  15:13 210123:18 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         872  0.7  0.5 1866880 48756 ?       Ssl  15:13   0:04 /usr/bin/containerd
root         439  0.1  0.2  67140 19896 ?        S<s  15:13   0:00 /usr/lib/systemd/systemd-journald
root           1  0.4  0.1  21060 12160 ?        Ss   15:13   0:02 /usr/sbin/init
jules        887  0.0  0.1  20100 11264 ?        Ss   15:13   0:00 /usr/lib/systemd/systemd --user
root          28  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/2:0H-kblockd]
root          29  0.0  0.0      0     0 ?        S    15:13   0:00 [cpuhp/3]
root          30  0.2  0.0      0     0 ?        S    15:13   0:01 [migration/3]
root          31  0.0  0.0      0     0 ?        S    15:13   0:00 [ksoftirqd/3]
root          33  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/3:0H-events_highpri]
root          34  0.0  0.0      0     0 ?        S    15:13   0:00 [kdevtmpfs]
root          35  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-inet_]
root          36  0.0  0.0      0     0 ?        S    15:13   0:00 [oom_reaper]
root          37  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-write]
root          38  0.0  0.0      0     0 ?        S    15:13   0:00 [kcompactd0]
root          39  0.0  0.0      0     0 ?        SN   15:13   0:00 [ksmd]
root          40  0.0  0.0      0     0 ?        SN   15:13   0:00 [khugepaged]
root          41  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-crypt]
root          42  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-kbloc]
root          50  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/0:1H-kblockd]
root          61  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/u8:2-events_unbound]
root          62  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/u8:3-ext4-rsv-conversion]
root          78  0.0  0.0      0     0 ?        S    15:13   0:00 [kswapd0]
root          84  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-kthro]
root          86  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/2:2-events]
root          90  0.0  0.0      0     0 ?        S    15:13   0:00 [irq/24-ACPI:Ged]
root          95  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-acpi_]
root         178  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/1:2-cgroup_destroy]
root         179  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-mld]
root         180  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-ipv6_]
root         181  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/1:1H-kblockd]
root         185  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-kstrp]
root         187  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/3:1H-kblockd]
root         252  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/u8:4-events_unbound]
root         341  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/u8:5-events_unbound]
root         413  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/2:1H-kblockd]
root         414  0.0  0.0      0     0 ?        S    15:13   0:00 [jbd2/vdb-8]
root         415  0.0  0.0      0     0 ?        I<   15:13   0:00 [kworker/R-ext4-]
root         773  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/0:2-events]
root         782  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/3:2-events]
root         783  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/3:3-events]
root         823  0.0  0.0      0     0 ?        I    15:13   0:00 [kworker/1:3-events]
